challenge_id,category,difficulty,minutes,prompt,expected_features
IQ032,Window functions,Intermediate,12,Assign customers to revenue quartiles without losing zero-order customers.,customer aggregate; NTILE
IQ033,Window functions,Intermediate,14,Detect when cumulative stock movement first becomes negative for a product-location.,running sum; filter first breach
IQ034,Window functions,Intermediate,15,Compare each month’s revenue with same month last year.,monthly aggregate; LAG 12 or self-join
IQ035,Gaps and islands,Intermediate,15,Find consecutive login-day streaks for each user.,date minus row_number island key
IQ036,Gaps and islands,Intermediate,15,Find uninterrupted subscription periods where adjacent intervals touch or overlap.,running max end; boundary flag; cumulative island
IQ037,Gaps and islands,Intermediate,12,Return missing order-number ranges.,LAG; gap boundaries
IQ038,Gaps and islands,Intermediate,15,"Find sequences of at least three consecutive days with revenue above ₹10,000.",daily spine; boundary flag; island aggregate
IQ039,Data diagnosis,Intermediate,10,Diagnose duplicate customer emails after case and whitespace normalization.,normalized key; GROUP BY; HAVING
IQ040,Data diagnosis,Intermediate,12,Find orders where stored total disagrees with the sum of lines.,independent recomputation; tolerance or exact integer
IQ041,Data diagnosis,Intermediate,12,Find orphan-like references in a staging table before adding a foreign key.,LEFT JOIN IS NULL or NOT EXISTS
IQ042,Data diagnosis,Intermediate,12,Find pairs of active subscriptions whose periods overlap for the same customer and plan.,self-join with ordered pair; range overlap
IQ043,Pagination and APIs,Intermediate,10,"Write keyset pagination for orders sorted by ordered_at DESC, order_id DESC.",lexicographic cursor predicate; matching index
IQ044,Pagination and APIs,Intermediate,12,Explain why OFFSET pagination can skip or repeat rows under concurrent inserts and replace it.,stable keyset; snapshot considerations
IQ045,Query testing,Intermediate,12,Design a minimal dataset that exposes a join-multiplication bug between order items and payments.,one order; multiple items; multiple payments; expected totals
IQ046,Query testing,Intermediate,12,Design adversarial rows that distinguish NOT IN from NOT EXISTS when NULL appears.,NULL in subquery; expected anti-join behavior
IQ047,Timed case,Intermediate,25,"Create a customer health report with last order, 90-day spend, order count, refund rate, and deterministic risk tier.",separate aggregates; window/latest; conditional metrics
IQ048,Timed case,Intermediate,30,"Build a product performance report with revenue, margin, rank in category, month-over-month change, and unsold products.",calendar/product spine; aggregates; windows; LEFT JOIN
