question_id,category,difficulty,minutes,question
A030,Analytics,Advanced,12,"Design a governed executive metric with freshness quality and lineage evidence."
D031,Design,Senior,12,"Design a multi-tenant customer and order model with tenant-safe keys."
D032,Design,Senior,12,"Design product price history without rewriting historical order facts."
D033,Design,Senior,12,"Design an exclusive resource-booking model that prevents overlap."
D034,Design,Senior,12,"Design an inventory ledger and current balance projection with reconciliation."
D035,Design,Senior,12,"Design a double-entry journal and posting model with immutable correction."
D036,Design,Senior,12,"Design soft deletion while preserving live-row uniqueness."
D037,Design,Senior,12,"Design a work queue with leases retries poison handling and observability."
D038,Design,Senior,12,"Choose between typed columns and JSON for extensible product attributes."
D039,Design,Senior,12,"Design audit evidence with actor object before-after state and correlation."
D040,Design,Senior,12,"Explain which invariant owns a derived counter and how you would reconcile drift."
T041,Transactions,Senior,12,"Protect the last available inventory unit from concurrent reservations."
T042,Transactions,Senior,12,"Explain lost update and show a lock or optimistic-version defense."
T043,Transactions,Senior,12,"Explain write skew and when SERIALIZABLE is appropriate."
T044,Transactions,Senior,12,"Design idempotent checkout for a lost response after commit."
T045,Transactions,Senior,12,"Classify transaction errors into retryable and non-retryable groups."
T046,Transactions,Senior,12,"Explain deterministic lock ordering as a deadlock-reduction technique."
T047,Transactions,Senior,12,"Design a SKIP LOCKED worker claim that produces disjoint batches."
T048,Transactions,Senior,12,"Explain why an external payment call should not be hidden inside a long database transaction."
T049,Transactions,Senior,12,"Design an outbox boundary so state and publish intent commit together."
T050,Transactions,Senior,12,"Explain how to recover an ambiguous commit using command identity and stored result."
P051,Performance,Senior,12,"Read an execution plan with a one-hundred-times row-estimation error."
P052,Performance,Senior,12,"Explain when a composite index should start with equality columns before range/order columns."
P053,Performance,Senior,12,"Rewrite a non-sargable date predicate as a half-open range."
P054,Performance,Senior,12,"Explain nested-loop explosion using actual rows and loop counts."
P055,Performance,Senior,12,"Diagnose a hash or sort spill and describe the evidence you need."
P056,Performance,Senior,12,"Compare OFFSET and keyset pagination for a mutable deep feed."
P057,Performance,Senior,12,"Explain why the optimizer may ignore an existing index."
P058,Performance,Senior,12,"Defend a partial index by connecting its predicate to the workload."
P059,Performance,Senior,12,"Explain stale statistics and skew symptoms in estimated versus actual rows."
P060,Performance,Senior,12,"Design a performance experiment that compares baseline and candidate on equivalent data."
E061,Evolution,Senior,12,"Plan an expand-contract migration for adding a required column."
E062,Evolution,Senior,12,"Design a resumable bounded backfill with checkpoints and reconciliation."
E063,Evolution,Senior,12,"Explain mixed-version application compatibility during a rolling deployment."
E064,Evolution,Senior,12,"Choose rollback versus forward-fix for a partially applied data migration."
E065,Evolution,Senior,12,"Design schema-version tracking for a multi-tenant fleet."
E066,Evolution,Senior,12,"Plan a tenant move from shared storage to a dedicated database."
E067,Evolution,Senior,12,"Explain how to validate old and new representations before cutover."
E068,Evolution,Senior,12,"Design a safe removal of a deprecated column after the compatibility window."
E069,Evolution,Senior,12,"Explain how migration locks and statement timeouts belong in a release plan."
E070,Evolution,Senior,12,"State the evidence you would retain for a high-risk production migration."
S071,Security,Senior,10,"Design least-privilege roles for runtime migration reporting and administration."
S072,Security,Senior,10,"Explain SQL injection and why parameters protect values but not arbitrary identifiers."
S073,Security,Senior,10,"Design tenant isolation using composite keys and row-level security as defense in depth."
S074,Security,Senior,10,"Describe negative tests that prove cross-tenant access is denied."
S075,Security,Senior,10,"Explain how secrets should be stored rotated and excluded from logs."
S076,Security,Senior,10,"Design audit logging without leaking sensitive payloads."
S077,Security,Senior,10,"Explain encryption at rest in transit and application-level encryption trade-offs."
S078,Security,Senior,10,"Design a privacy deletion workflow that preserves required financial evidence."
S079,Security,Senior,10,"Explain connection-pool tenant-context hygiene for row-level security."
S080,Security,Senior,10,"Describe incident evidence to preserve after suspected cross-tenant exposure."
R081,Reliability,Senior,12,"Define RPO and RTO for a database-backed product and connect them to backup design."
R082,Reliability,Senior,12,"Describe a point-in-time recovery drill from backup through reconciliation."
R083,Reliability,Senior,12,"Explain why backup success is not proof that restore works."
R084,Reliability,Senior,12,"Design reconciliation between authoritative rows and a derived search or cache projection."
R085,Reliability,Senior,12,"Diagnose an outbox backlog using oldest-event age attempts and downstream health."
R086,Reliability,Senior,12,"Design a bounded repair job that is safe to resume after failure."
R087,Reliability,Senior,12,"Explain how replication lag affects read-your-writes and reporting semantics."
R088,Reliability,Senior,12,"Describe a database latency incident containment and evidence workflow."
R089,Reliability,Senior,12,"Explain how to validate a restored tenant before routing production traffic to it."
R090,Reliability,Senior,12,"Design alerts that distinguish symptom metrics from invariant violations."
C091,Communication,Intermediate,5,"Explain a complex SQL query in two minutes using grain stages and evidence."
C092,Communication,Intermediate,5,"Respond when an interviewer leaves an important requirement ambiguous."
C093,Communication,Intermediate,5,"Explain a database trade-off to a non-technical product stakeholder."
C094,Communication,Intermediate,5,"State uncertainty without guessing and propose a concrete verification step."
C095,Communication,Intermediate,5,"Compare two valid designs and name the condition that would change your choice."
C096,Communication,Intermediate,5,"Turn a failed mock answer into a concise corrected answer and error-log entry."
C097,Communication,Intermediate,5,"Explain why a correct query still needs deterministic ordering and tests."
C098,Communication,Intermediate,5,"Present performance evidence without claiming causation from a single benchmark."
C099,Communication,Intermediate,5,"Describe an incident using trigger reproduction analysis controlled change and evidence."
C100,Communication,Intermediate,5,"Give a three-minute project story with problem invariant decision failure evidence and next step."
PF101,Portfolio,Intermediate,8,"Choose the strongest evidence for a claim that a query became faster."
PF102,Portfolio,Intermediate,8,"Design a project README that makes setup invariants tests and limitations reproducible."
PF103,Portfolio,Intermediate,8,"Explain how to label synthetic benchmark scale truthfully."
PF104,Portfolio,Intermediate,8,"Identify which artifacts prove concurrency safety in an inventory project."
PF105,Portfolio,Intermediate,8,"Identify which artifacts prove migration safety and recovery readiness."
PF106,Portfolio,Intermediate,8,"Review a portfolio for secrets personal data and unsafe sample credentials."
PF107,Portfolio,Intermediate,8,"Prepare a thirty-second three-minute and ten-minute version of one project story."
PF108,Portfolio,Intermediate,8,"Turn an unmeasured resume claim into an evidence-backed or qualitative statement."
PF109,Portfolio,Intermediate,8,"Choose two primary projects and one backup for a target database role."
PF110,Portfolio,Intermediate,8,"Design a short demo path that is reliable from a clean environment."
CR111,Career,Intermediate,5,"Create a weekly application revision and mock-interview cadence."
CR112,Career,Intermediate,5,"Use a scoring rubric to choose the next technical weakness to repair."
CR113,Career,Intermediate,5,"Prepare role-specific study priorities for a SQL or data analyst interview."
CR114,Career,Intermediate,5,"Prepare role-specific study priorities for an analytics engineering interview."
CR115,Career,Intermediate,5,"Prepare role-specific study priorities for a backend database interview."
CR116,Career,Intermediate,5,"Prepare role-specific study priorities for a data engineering interview."
CR117,Career,Intermediate,5,"Prepare role-specific study priorities for a DBA or DBRE interview."
CR118,Career,Intermediate,5,"Plan a full 120-minute cross-functional mock and independent scoring pass."
CR119,Career,Intermediate,5,"Explain how to use rejection or weak-mock feedback without overfitting to one interview."
CR120,Career,Intermediate,5,"Define the evidence that would make you ready to schedule high-stakes interview loops."
