id,category,difficulty,time_minutes,scenario,must_cover,common_trap,verification
55,System case,Senior,12,"Senior database case 55: defend correctness scale failure and evolution",contract; invariant; evidence; recovery,feature listing without proof,adversarial tests; plan; reconciliation
56,System case,Senior,20,"Senior database case 56: defend correctness scale failure and evolution",contract; invariant; evidence; recovery,feature listing without proof,adversarial tests; plan; reconciliation
57,System case,Staff,12,"Senior database case 57: defend correctness scale failure and evolution",contract; invariant; evidence; recovery,feature listing without proof,adversarial tests; plan; reconciliation
58,System case,Senior,12,"Senior database case 58: defend correctness scale failure and evolution",contract; invariant; evidence; recovery,feature listing without proof,adversarial tests; plan; reconciliation
59,System case,Senior,12,"Senior database case 59: defend correctness scale failure and evolution",contract; invariant; evidence; recovery,feature listing without proof,adversarial tests; plan; reconciliation
60,System case,Staff,20,"Senior database case 60: defend correctness scale failure and evolution",contract; invariant; evidence; recovery,feature listing without proof,adversarial tests; plan; reconciliation
61,System case,Senior,12,"Senior database case 61: defend correctness scale failure and evolution",contract; invariant; evidence; recovery,feature listing without proof,adversarial tests; plan; reconciliation
62,Integrated,Senior,25,"Senior database case 62: defend correctness scale failure and evolution",contract; invariant; evidence; recovery,feature listing without proof,adversarial tests; plan; reconciliation
63,Integrated,Staff,25,"Senior database case 63: defend correctness scale failure and evolution",contract; invariant; evidence; recovery,feature listing without proof,adversarial tests; plan; reconciliation
64,Integrated,Senior,25,"Senior database case 64: defend correctness scale failure and evolution",contract; invariant; evidence; recovery,feature listing without proof,adversarial tests; plan; reconciliation
65,Integrated,Senior,25,"Senior database case 65: defend correctness scale failure and evolution",contract; invariant; evidence; recovery,feature listing without proof,adversarial tests; plan; reconciliation
66,Integrated,Staff,25,"Senior database case 66: defend correctness scale failure and evolution",contract; invariant; evidence; recovery,feature listing without proof,adversarial tests; plan; reconciliation
67,Integrated,Senior,25,"Senior database case 67: defend correctness scale failure and evolution",contract; invariant; evidence; recovery,feature listing without proof,adversarial tests; plan; reconciliation
68,Integrated,Senior,25,"Senior database case 68: defend correctness scale failure and evolution",contract; invariant; evidence; recovery,feature listing without proof,adversarial tests; plan; reconciliation
69,Integrated,Staff,25,"Senior database case 69: defend correctness scale failure and evolution",contract; invariant; evidence; recovery,feature listing without proof,adversarial tests; plan; reconciliation
70,Integrated,Senior,25,"Senior database case 70: defend correctness scale failure and evolution",contract; invariant; evidence; recovery,feature listing without proof,adversarial tests; plan; reconciliation
71,Integrated,Senior,25,"Senior database case 71: defend correctness scale failure and evolution",contract; invariant; evidence; recovery,feature listing without proof,adversarial tests; plan; reconciliation
72,Integrated,Staff,25,"Senior database case 72: defend correctness scale failure and evolution",contract; invariant; evidence; recovery,feature listing without proof,adversarial tests; plan; reconciliation
