question,strong_answer,example_or_pitfall
LIMIT/TOP/FETCH FIRST differences?,They limit returned rows but syntax is vendor-specific. A deterministic limit also requires ORDER BY.,LIMIT 10 without ORDER BY means any ten qualifying rows.
What does DISTINCT do?,It removes duplicate result rows based on every selected expression.,It can hide an incorrect join; fix join cardinality before using DISTINCT as a patch.
What is an INNER JOIN?,It returns matching row combinations according to the join predicate.,"The result cardinality depends on one-to-one, one-to-many, or many-to-many relationships."
What is a LEFT JOIN?,It returns every left row and matching right rows; unmatched right columns are NULL.,A right-table filter in WHERE can accidentally turn it into an inner join.
What is a CROSS JOIN?,It returns the Cartesian product of both inputs.,"Useful for generating combinations, but dangerous when a join predicate is accidentally omitted."
JOIN versus UNION?,JOIN combines columns from related rows; UNION stacks compatible row sets and removes duplicates. UNION ALL preserves duplicates.,UNION requires equal column count and compatible types.
EXISTS versus IN?,Both express membership; EXISTS is correlated and checks whether a row exists. NULL behavior makes NOT IN risky when the subquery may return NULL.,Prefer NOT EXISTS for NULL-safe anti-joins.
What does GROUP BY do?,It partitions input rows into groups that share the grouping expressions so aggregates can return one result per group.,"Every selected non-aggregate expression must be functionally dependent on the group or explicitly grouped, depending on engine rules."
COUNT(*) versus COUNT(column)?,COUNT(*) counts rows; COUNT(column) counts non-NULL values in that column.,"For a LEFT JOIN, COUNT(child.id) counts matched children while COUNT(*) still counts the parent row."
"SUM, AVG, MIN, and MAX behavior?",They aggregate non-NULL inputs. SUM and AVG depend on numeric type and may need explicit casting or rounding policy.,AVG of integer inputs may return decimal or vendor-specific type.
What is conditional aggregation?,Aggregating CASE expressions to compute multiple metrics in one grouped query.,SUM(CASE WHEN status = 'paid' THEN amount ELSE 0 END).
Why can joins inflate aggregates?,A one-to-many join duplicates parent values across child rows before aggregation.,Aggregate at the correct grain first or use separate subqueries.
What is a subquery?,"A query nested inside another statement that can produce a scalar, row, table, or existence result.",A scalar subquery must return at most one row.
What is a correlated subquery?,A subquery that references columns from the outer query and is logically evaluated per outer row.,"Optimizers may rewrite it, but you should still understand its cardinality and cost."
What is a CTE?,"A named query expression introduced with WITH, improving structure and supporting recursion; materialization behavior is vendor/version dependent.",A CTE is not automatically faster than a subquery.
What is a view?,A named stored query that exposes a reusable logical interface over base objects.,A view does not normally store rows; a materialized view does.
What are table and column aliases?,"Temporary names used within a statement for clarity, disambiguation, and output labels.",Use meaningful aliases in multi-table joins; do not rely on aliases where logical query order disallows them.
"INSERT, UPDATE, and DELETE?","INSERT adds rows, UPDATE changes existing rows, and DELETE removes rows. Each should be bounded by predicates, constraints, authorization, and transaction policy.",Preview an UPDATE/DELETE predicate with SELECT when operating manually.
What is a transaction?,A unit of work that commits all intended changes together or rolls them back together.,"A transaction boundary should match one business command, not an arbitrary screen."
What does ACID mean?,"Atomicity, Consistency, Isolation, and Durability describe transaction guarantees and responsibilities.","Consistency includes application and schema invariants, not magic validation of business meaning."
COMMIT versus ROLLBACK?,COMMIT makes successful transaction changes durable and visible according to isolation; ROLLBACK discards uncommitted work.,A lost network response can make commit outcome ambiguous; retry with idempotency.
What is a savepoint?,A named point inside a transaction that allows partial rollback without ending the entire transaction.,"Useful for optional sub-operations, but not a replacement for clean transaction design."
What is normalization?,A dependency-based design process that reduces update anomalies and represents each fact at the correct grain.,"Normalization is about functional dependencies, not merely splitting large tables."
What is 1NF?,"Columns contain atomic values for the chosen model, rows are identifiable, and repeating groups are removed.",Atomicity is domain-relative; a timestamp may be one value even though it has components.
What is 2NF?,A 1NF relation has no non-key attribute dependent on only part of a composite candidate key.,"The issue arises with composite keys, such as order_id plus product_id."
What is 3NF?,A 2NF relation has no inappropriate transitive dependency of non-key attributes on candidate keys.,"Store customer city with the customer, not redundantly on every mutable order unless it is an intentional snapshot."
One-to-many versus many-to-many?,One-to-many uses a foreign key on the many side; many-to-many uses a junction table with two foreign keys and relationship attributes.,A student-course enrollment table may also store enrolled_at and grade.
What is an index?,"A data structure that provides an access path for locating or ordering rows, trading storage and write cost for read efficiency.",An index is not a copy of every query result.
Why might a query ignore an index?,"The optimizer may estimate a scan is cheaper because of low selectivity, small table size, stale statistics, functions/casts, mismatched order, or missing leading columns.",“Index exists” does not mean “index is useful.”
What is a composite index?,"An index over multiple columns whose usefulness depends on column order, predicates, ordering, and engine rules.","For equality on tenant_id and range on created_at, (tenant_id, created_at) is often suitable."
What is selectivity?,How strongly a predicate narrows rows; highly selective predicates match a small fraction of the table.,A boolean status alone is often low-selectivity.
What is an execution plan?,"The optimizer’s chosen operators, access paths, join methods, estimates, and costs for executing a statement.",Compare estimated and actual rows using the engine’s safe plan-analysis tools.
What is SQL injection?,Untrusted input changing SQL grammar when code concatenates data into statements.,"Use parameterized queries; parameters protect values, not dynamic identifiers such as column names."
What is least privilege?,Grant each identity only the database capabilities required for its job and no more.,"Separate migration, application, reporting, and administration roles."
Why use parameters?,"They separate SQL structure from values, improve safety, type handling, and often plan reuse.",Do not quote placeholders manually.
Is SQL identical across databases?,"Core concepts are shared, but syntax, types, NULL behavior, functions, locking, limits, and optimizer features vary.",State the target dialect when giving vendor-specific syntax.
How should you answer an SQL interview question?,"Clarify assumptions, state grain and keys, give a correct bounded query, discuss NULLs/duplicates/order, and explain how you would test it.",A short correct answer with assumptions is stronger than a long confident guess.
